season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2022,NBA,Minnesota Timberwolves,MIN,True,82.0,19780.0,3298.0,7163.0,0.46,1071.0,3062.0,0.35,2227.0,4101.0,0.543,1624.0,2081.0,0.78,904.0,2858.0,3762.0,2149.0,593.0,397.0,1339.0,1715.0,9291.0
2022,NBA,New Orleans Pelicans,NOP,True,82.0,19755.0,3301.0,7009.0,0.471,1064.0,2913.0,0.365,2237.0,4096.0,0.546,1377.0,1753.0,0.786,759.0,2666.0,3425.0,2039.0,605.0,391.0,1164.0,1681.0,9043.0
2022,NBA,New York Knicks,NYK,False,82.0,19780.0,3154.0,7050.0,0.447,1038.0,3032.0,0.342,2116.0,4018.0,0.527,1395.0,1826.0,0.764,766.0,2812.0,3578.0,1982.0,572.0,379.0,1039.0,1671.0,8741.0
2022,NBA,Oklahoma City Thunder,OKC,False,82.0,19805.0,3398.0,7421.0,0.458,1118.0,3171.0,0.353,2280.0,4250.0,0.536,1256.0,1629.0,0.771,906.0,3060.0,3966.0,2142.0,695.0,490.0,1086.0,1463.0,9170.0
2022,NBA,Orlando Magic,ORL,False,82.0,19780.0,3346.0,7300.0,0.458,1082.0,2979.0,0.363,2264.0,4321.0,0.524,1429.0,1851.0,0.772,852.0,3014.0,3866.0,2034.0,655.0,428.0,1079.0,1501.0,9203.0
2022,NBA,Philadelphia 76ers,PHI,True,82.0,19805.0,3253.0,7097.0,0.458,931.0,2692.0,0.346,2322.0,4405.0,0.527,1364.0,1773.0,0.769,838.0,2784.0,3622.0,1932.0,542.0,379.0,1087.0,1594.0,8801.0
2022,NBA,Phoenix Suns,PHO,True,82.0,19730.0,3216.0,7243.0,0.444,953.0,2805.0,0.34,2263.0,4438.0,0.51,1416.0,1861.0,0.761,863.0,2783.0,3646.0,1875.0,614.0,327.0,1206.0,1553.0,8801.0
2022,NBA,Portland Trail Blazers,POR,False,82.0,19730.0,3373.0,7045.0,0.479,1129.0,3046.0,0.371,2244.0,3999.0,0.561,1564.0,2014.0,0.777,800.0,2868.0,3668.0,2184.0,672.0,409.0,1150.0,1589.0,9439.0
2022,NBA,Sacramento Kings,SAC,False,82.0,19805.0,3561.0,7429.0,0.479,1065.0,2864.0,0.372,2496.0,4565.0,0.547,1306.0,1682.0,0.776,866.0,2891.0,3757.0,2077.0,668.0,395.0,1106.0,1665.0,9493.0
2022,NBA,San Antonio Spurs,SAS,False,82.0,19805.0,3482.0,7475.0,0.466,992.0,2756.0,0.36,2490.0,4719.0,0.528,1313.0,1711.0,0.767,933.0,2902.0,3835.0,1970.0,601.0,403.0,1131.0,1553.0,9269.0
2022,NBA,Toronto Raptors,TOR,True,82.0,19855.0,3197.0,6919.0,0.462,1014.0,2861.0,0.354,2183.0,4058.0,0.538,1374.0,1742.0,0.789,847.0,2764.0,3611.0,2076.0,549.0,416.0,1298.0,1563.0,8782.0
2022,NBA,Utah Jazz,UTA,True,82.0,19730.0,3314.0,7318.0,0.453,994.0,2837.0,0.35,2320.0,4481.0,0.518,1199.0,1581.0,0.758,809.0,2599.0,3408.0,1917.0,636.0,352.0,982.0,1664.0,8821.0
2022,NBA,Washington Wizards,WAS,False,82.0,19830.0,3384.0,7287.0,0.464,941.0,2607.0,0.361,2443.0,4680.0,0.522,1475.0,1828.0,0.807,840.0,2786.0,3626.0,1941.0,598.0,344.0,972.0,1634.0,9184.0
2022,NBA,League Average,,False,82.0,19792.0,3331.0,7224.0,0.461,1020.0,2885.0,0.354,2311.0,4340.0,0.533,1389.0,1793.0,0.775,847.0,2798.0,3645.0,2021.0,626.0,386.0,1129.0,1610.0,9071.0
