season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
2024,NBA,Quentin Grimes,grimequ01,23,2TM,SG,51,18.0,1025,6.0,16.0,0.372,4.0,11.7,0.338,2.0,4.3,0.466,0.495,1.7,2.2,0.756,0.7,4.2,4.9,3.2,1.7,0.3,1.4,3.7,17.6,109.0,116.0
2024,NBA,Quentin Grimes,grimequ01,23,NYK,SG,45,18.0,910,6.3,15.8,0.395,4.3,11.7,0.363,2.0,4.1,0.486,0.53,1.3,1.9,0.706,0.8,4.1,4.9,2.9,1.7,0.2,1.2,3.7,18.1,115.0,116.0
2024,NBA,Quentin Grimes,grimequ01,23,DET,SG,6,0.0,115,3.8,17.6,0.214,1.7,11.7,0.143,2.1,5.9,0.357,0.262,4.2,4.6,0.909,0.4,4.6,5.0,5.9,2.1,1.7,2.9,3.8,13.4,78.0,117.0
2024,NBA,Mouhamadou Gueye,gueyemo01,25,TOR,PF,11,0.0,120,4.4,15.3,0.289,0.0,1.2,0.0,4.4,14.1,0.314,0.289,1.6,3.6,0.444,4.8,4.4,9.3,2.0,1.2,7.2,4.8,6.0,10.5,67.0,113.0
2024,NBA,Mouhamed Gueye,gueyemo02,21,ATL,PF,6,0.0,73,5.3,15.1,0.348,2.0,5.9,0.333,3.3,9.2,0.357,0.413,3.3,3.9,0.833,6.6,7.9,14.5,2.6,3.3,2.6,0.7,8.5,15.8,120.0,112.0
2024,NBA,Rui Hachimura,hachiru01,25,LAL,PF,68,39.0,1826,9.5,17.6,0.537,2.6,6.0,0.422,6.9,11.6,0.597,0.609,2.6,3.5,0.739,1.5,6.1,7.7,2.1,1.1,0.7,1.2,2.6,24.0,121.0,117.0
2024,NBA,Ashton Hagans,haganas01,24,POR,PG,19,1.0,316,4.5,11.1,0.408,1.3,3.9,0.32,3.3,7.2,0.457,0.465,2.2,2.7,0.824,2.2,4.8,7.0,8.4,1.7,1.4,4.7,6.3,12.5,99.0,117.0
2024,NBA,Tyrese Haliburton,halibty01,23,IND,PG,69,68.0,2224,10.6,22.2,0.477,4.1,11.3,0.364,6.5,10.9,0.595,0.57,4.1,4.8,0.855,0.7,5.0,5.7,16.0,1.8,1.0,3.4,1.6,29.5,129.0,119.0
2024,NBA,R.J. Hampton,hamptrj01,22,MIA,PG,8,2.0,76,2.6,9.2,0.286,0.7,5.3,0.125,2.0,3.9,0.5,0.321,0.7,1.3,0.5,1.3,2.6,3.9,5.3,0.0,0.0,2.0,5.3,6.6,84.0,119.0
2024,NBA,Tim Hardaway Jr.,hardati02,31,DAL,SF,79,12.0,2120,8.9,22.1,0.402,4.8,13.5,0.353,4.1,8.6,0.478,0.51,3.3,3.8,0.852,0.5,5.3,5.7,3.1,1.0,0.1,1.6,2.4,25.8,109.0,119.0
2024,NBA,James Harden,hardeja01,34,LAC,PG,72,72.0,2470,7.0,16.4,0.428,3.7,9.8,0.381,3.3,6.7,0.497,0.541,6.0,6.9,0.878,0.7,6.7,7.4,12.3,1.5,1.1,3.7,2.5,23.8,125.0,116.0
2024,NBA,Jaden Hardy,hardyja02,21,DAL,SG,73,7.0,989,9.5,23.2,0.407,3.9,10.9,0.362,5.5,12.4,0.447,0.492,2.9,3.7,0.776,1.0,5.4,6.4,5.3,1.1,0.2,3.0,3.9,25.7,103.0,118.0
2024,NBA,Ron Harper Jr.,harpero02,23,TOR,PF,1,0.0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,12.1,0.0,0.0,0.0,24.1,0.0,227.0,127.0
