season,lg,type,number_tm,position,player,player_id,age,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm
2023,nba,all_nba,ORV,C,Brook Lopez,lopezbr01,34,1.0,500.0,0.002,0.0,0.0,1.0
2023,nba,all_nba,ORV,G,Trae Young,youngtr01,24,1.0,500.0,0.002,0.0,0.0,1.0
2022,nba,all_nba,1T,F,Giannis Antetokounmpo,antetgi01,27,500.0,500.0,1.0,100.0,0.0,0.0
2022,nba,all_nba,1T,G,Luka Dončić,doncilu01,22,476.0,500.0,0.952,88.0,12.0,0.0
2022,nba,all_nba,1T,C,Nikola Jokić,jokicni01,26,476.0,500.0,0.952,88.0,12.0,0.0
2022,nba,all_nba,1T,G,Devin Booker,bookede01,25,460.0,500.0,0.92,82.0,16.0,2.0
2022,nba,all_nba,1T,F,Jayson Tatum,tatumja01,23,390.0,500.0,0.78,49.0,47.0,4.0
2022,nba,all_nba,2T,C,Joel Embiid,embiijo01,27,414.0,500.0,0.828,57.0,43.0,0.0
2022,nba,all_nba,2T,G,Ja Morant,moranja01,22,301.0,500.0,0.602,13.0,76.0,8.0
2022,nba,all_nba,2T,F,Kevin Durant,duranke01,33,276.0,500.0,0.552,10.0,68.0,22.0
2022,nba,all_nba,2T,G,Stephen Curry,curryst01,33,274.0,500.0,0.548,9.0,69.0,22.0
