game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
0042100165,00,1610612744,GSW,Golden State,40,9,5,7,7,5,1,10,8,7,1610612743,DEN,Denver,52,18,13,10,1,15,10,7
0042100176,00,1610612742,DAL,Dallas,36,3,6,8,11,7,1,10,7,13,1610612762,UTA,Utah,54,14,9,12,0,11,7,18
0042100136,00,1610612761,TOR,Toronto,38,23,5,5,9,6,1,10,6,17,1610612755,PHI,Philadelphia,52,17,21,35,0,11,4,12
0042100146,00,1610612740,NOP,New Orleans,60,18,20,12,22,9,1,17,5,25,1610612756,PHX,Phoenix,40,4,7,7,0,14,1,19
0042100156,00,1610612763,MEM,Memphis,46,13,13,8,9,8,1,19,7,20,1610612750,MIN,Minnesota,46,7,11,13,0,11,6,16
0042100211,00,1610612738,BOS,Boston,20,14,8,8,5,4,0,18,6,27,1610612749,MIL,Milwaukee,34,19,28,17,1,14,12,6
0042100201,00,1610612748,MIA,Miami,52,18,13,21,4,2,2,13,9,9,1610612755,PHI,Philadelphia,46,14,10,5,1,15,7,22
0042100221,00,1610612742,DAL,Dallas,44,14,12,0,0,0,1,9,7,10,1610612756,PHX,Phoenix,38,9,11,21,1,10,3,13
0042100212,00,1610612749,MIL,Milwaukee,54,9,6,0,0,0,1,17,9,24,1610612738,BOS,Boston,24,9,6,26,5,16,5,17
0042100232,00,1610612744,GSW,Golden State,60,20,10,4,6,4,0,18,10,15,1610612763,MEM,Memphis,42,10,18,11,1,15,4,12
0042100202,00,1610612748,MIA,Miami,42,21,8,18,3,7,0,14,10,18,1610612755,PHI,Philadelphia,54,12,15,5,2,10,5,12
0042100222,00,1610612756,PHX,Phoenix,50,13,5,27,2,4,1,17,8,21,1610612742,DAL,Dallas,32,16,5,5,3,17,10,21
0042100223,00,1610612742,DAL,Dallas,50,16,6,18,1,1,0,8,10,15,1610612756,PHX,Phoenix,32,10,7,6,0,17,6,22
0042100203,00,1610612755,PHI,Philadelphia,28,7,19,20,2,2,1,19,7,19,1610612748,MIA,Miami,28,15,6,3,1,13,8,17
0042100213,00,1610612749,MIL,Milwaukee,52,11,21,14,15,12,2,12,10,11,1610612738,BOS,Boston,32,10,11,4,0,12,13,11
0042100233,00,1610612744,GSW,Golden State,62,11,15,32,1,2,0,16,15,23,1610612763,MEM,Memphis,44,8,20,13,2,12,8,16
0042100224,00,1610612756,PHX,Phoenix,50,16,6,3,1,3,0,17,8,23,1610612742,DAL,Dallas,32,15,6,17,0,11,11,9
0042100204,00,1610612748,MIA,Miami,48,7,19,4,17,11,0,13,12,11,1610612755,PHI,Philadelphia,34,7,18,14,1,17,9,25
0042100214,00,1610612749,MIL,Milwaukee,52,12,13,11,7,7,1,8,9,11,1610612738,BOS,Boston,48,5,16,10,0,11,10,17
0042100234,00,1610612744,GSW,Golden State,42,13,13,6,1,4,0,16,5,11,1610612763,MEM,Memphis,58,15,13,12,0,12,11,15
0042100225,00,1610612742,DAL,Dallas,24,2,10,8,5,3,2,18,8,24,1610612756,PHX,Phoenix,44,14,11,30,0,12,5,17
0042100235,00,1610612744,GSW,Golden State,36,5,9,0,0,0,0,22,8,29,1610612763,MEM,Memphis,50,24,16,55,1,10,8,10
0042100206,00,1610612755,PHI,Philadelphia,48,9,11,3,8,7,0,13,7,22,1610612748,MIA,Miami,62,17,13,20,4,16,9,13
0042100226,00,1610612742,DAL,Dallas,34,8,21,27,3,6,1,7,8,6,1610612756,PHX,Phoenix,44,11,8,5,0,22,9,29
0042100236,00,1610612744,GSW,Golden State,36,21,23,16,13,7,2,19,12,18,1610612763,MEM,Memphis,34,12,15,7,1,7,9,7
0042100216,00,1610612749,MIL,Milwaukee,48,12,15,5,4,1,1,11,8,8,1610612738,BOS,Boston,34,10,6,18,0,8,12,10
0042100227,00,1610612742,DAL,Dallas,40,0,3,46,0,0,1,12,5,13,1610612756,PHX,Phoenix,38,23,9,0,0,12,8,15
0042100217,00,1610612749,MIL,Milwaukee,48,12,17,10,8,2,0,13,6,11,1610612738,BOS,Boston,26,11,8,28,2,14,8,18
0042100301,00,1610612748,MIA,Miami,40,11,13,20,3,2,1,13,6,17,1610612738,BOS,Boston,48,17,19,13,0,16,13,19
